,Name,key
716,Femme Fatale Noir,5117
717,Femme Fatale Sudachi,5118
718,Nightmare On Brett Raspberry,5119
719,Femme Fatale Kabosu,5120
720,Apricot De Brettaville,5121
721,Nightmare On Brett - Cherry,5122
722,Waymaker Brett IPA,5123
723,St. Bretta Citrus Saison,5124
724,Brett IPA,5125
725,Smuttlabs Daily Brett,5126
726,Brett Peat Daydream,5127
727,Reginald Brett,5128
728,Keraterra,5129
729,Bruxellensis,5130
730,Grace,5131
731,Smuttlabs Brett & I,5132
732,Bianca Raspberry Wild Wild Brett,5133
733,Brett Frambois,5134
734,Blackboard Series #2 - Dry-Hopped Brett Pils,5135
735,The Brett Conspiracy,5136
736,Funkmaster,5137
737,Wayward (100% Brett),5138
738,Embrace The Funk - Trio,5139
739,Sun Drift,5140
740,Nightmare On Brett - Leopold Brothers Maryland Rye Whiskey,5141
741,Fieldworks Brett IPA,5142
742,American Funk IPA,5143
743,Brett IPA,5144
744,Axilla,5145
745,Brett Cerise,5146
746,Session Brett Ale,5147
747,Small Ball Saison,5148
748,St. Bretta Citrus Wildbier,5149
749,Brettarillo,5150
750,Indian Brown Ale,301
751,Palo Santo Marron,302
752,Hazelnut Brown Nectar,303
753,Tumbler Autumn Brown Ale,304
754,Best Brown Ale,305
755,Moose Drool Brown Ale,306
756,Old Brown Dog,307
757,Coffee Bender,308
758,Wilco Tango Foxtrot,309
759,Brown Ale,310
760,Ellie's Brown Ale,311
761,Bender,312
762,Sumatra Mountain Brown,313
763,Koko Brown,314
764,Frangelic Mountain Brown,315
765,Pecan Ale,316
766,Cabin Fever,317
767,Maple Nut Brown Ale,318
768,Durty Mud Season,319
769,Samuel Adams Hazel BrownBoston Beer Company (Samuel Adams),320
770,Rocky's Revenge Bourbon Brown,321
771,Brekle's Brown,322
772,Bitch Creek American Brown Ale,323
773,Bellaire Brown Ale,324
774,George,325
775,Dirty Little Freak,326
776,Brown Ale,327
777,Board Meeting,328
778,Humboldt Brown (Ale Brewed With Hemp),329
779,Dos Perros,330
780,Imperial Nut Brown Ale,331
781,Okie,332
782,Peter Brown Tribute Ale,333
783,Underground Mountain Brown,334
784,Good Humans Ale (Dry Hopped Double Brown Ale),335
785,Decadent Dark Chocolate Ale,336
786,Sweet Josie Brown Ale,337
787,No Crusts,338
788,Bravo 2017,339
789,Festivity Ale,340
790,Flashback Ale,341
791,French Toast,342
792,He'Brew Messiah Nut Brown Ale,343
793,Snow Roller,344
794,Cacao Bender,345
795,Coffee Okie,346
796,Sick Day,347
797,Madtown Nutbrown,348
798,Hash Brown,349
799,Over Ale,350
800,Leffe Brune / Brown,351
801,Noire De Chambly / Chambly Noire,352
802,Belgian Freeze Belgian Style Winter Ale,353
803,Cold Front,354
804,Grottenbier,355
805,Undertaker,356
806,Rejection,357
807,Petrus Winterbier,358
808,Brontide,359
809,Petrus Speciale,360
810,Kapittel Pater,361
811,Hive 56,362
812,La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),363
813,Werewolf,364
814,Triporteur From Hell,365
815,Tempelier,366
816,Bink Bruin,367
817,Spinner Bait Belgian Style Red,368
818,The Debutante,369
819,Black Rhino,370
820,Woodbooger,371
821,Biscotti,372
